342;Sieni tatti, hapero;FI
343;Sieni rouskut, suolattu;FI
344;Etikkasienis%ae%ilyke;FI
345;Herkkusieni;FI
346;Kurkku;FI
347;Etikkakurkku, ei lis%ae%tty%ae% sokeria;FI
348;Maustekurkku, herkkukurkku, sokerisuolattu;FI
350;Kurpitsa;FI
351;Salaatti, kurpitsasalaatti, pikkelssi;FI
352;Tomaatti;FI
353;Ketsuppi;FI
354;Tomaattisose, tomaattipyree;FI
355;Paprika, keskiarvo;FI
356;Sekavihannes, porkkana, kukkakaali, herne, papu;FI
358;T%ae%ysmehu, kasvistuoremehu;FI
359;Kiinankaali;FI
360;Mangoldi;FI
362;Munakoiso;FI
363;Maissi, jyv%ae%t;FI
364;Vihanneskrassi;FI
367;Kantarelli;FI
368;Korvasieni;FI
369;Tilli, tuore;FI
370;Herne, vihre%ae%, tuore;FI
371;Herne, vihre%ae%, kuivattu;FI
372;Papu, vihre%ae% taitepapu, tuore;FI
373;Papu, ruskea tai valkoinen, kuivattu, keskiarvo;FI
375;P%ae%hkin%ae%, hasselp%ae%hkin%ae%;FI
376;P%ae%hkin%ae%, saksanp%ae%hkin%ae%;FI
377;Kastanja;FI
378;P%ae%hkin%ae%, maap%ae%hkin%ae%;FI
379;Manteli;FI
380;Jauho, soijajauho, rasvainen;FI
381;Jauho, soijajauho, v%ae%h%ae%rasvainen;FI
382;Kookoshiutale;FI
383;P%ae%hkin%ae%, suolap%ae%hkin%ae%;FI
384;Itu, keskiarvo, sinimailanen, mungopapu;FI
385;Seesaminsiemen, kuorineen;FI
386;Paprika, punainen;FI
387;Paprika, vihre%ae%;FI
388;Paprika, keltainen;FI
389;Kes%ae%kurpitsa, zucchini;FI
390;T%ae%ysmehu, tomaattimehu;FI
391;Soijapapu, kuivattu;FI
392;Ruohosipuli;FI
393;Valkosipuli;FI
394;Salaatti, kurkkusalaatti, kurkkupikkelssi, kurkkurelissi;FI
395;Papu, valkoinen, keitetty;FI
396;Pakastekasvissekoitus, herne-maissi-paprika;FI
398;Tomaattimurska;FI
399;Linssi, vihre%ae%/ruskea, kuivattu;FI
401;Omena, kuivattu;FI
408;Aprikoosi, sokeriliemess%ae%;FI
409;Aprikoosi, kuivattu;FI
411;Persikka, sokeriliemess%ae%;FI
412;Persikka, kuivattu;FI
417;Ananas, sokeriliemess%ae%;FI
423;Viiniryp%ae%le, keskiarvo, kivet%oe%n, vihre%ae%/tumma;FI
427;Sekahedelm%ae%, kuivattu;FI
428;Rusina;FI
431;Oliivi, keskiarvo, punnittu kivineen, %oe%ljyss%ae%, vihre%ae%/musta;FI
432;Hedelm%ae%salaattis%ae%ilyke, sokeriliemess%ae%;FI
433;T%ae%ysmehu, omenat%ae%ysmehu, c-vitamiinia;FI
434;T%ae%ysmehu, appelsiinit%ae%ysmehu, c-vitamiinia;FI
435;T%ae%ysmehu, greippit%ae%ysmehu, c-vitamiinia;FI
436;T%ae%ysmehu, c-vitamiinia, keskiarvo;FI
437;T%ae%ysmehu, sitruunat%ae%ysmehu, laimennettu;FI
438;T%ae%ysmehu, ananast%ae%ysmehu, c-vitamiinia;FI
440;Puolukka;FI
441;Karpalo;FI
442;Mustikka, mets%ae%mustikka;FI
444;Mustaherukka;FI
445;Punaherukka;FI
446;Karviainen;FI
447;Mansikka;FI
448;Vadelma;FI
449;Lakka, suomuurain, hilla;FI
450;Marjahillo, keskiarvo;FI
451;Mehu, h%oe%yrymehu, laimentamaton, sokeroitu;FI
452;Mehu, h%oe%yrymehu, mustaherukka, laimentamaton, sokeroitu;FI
453;Mehu, h%oe%yrymehu laimentamaton, sokeriton;FI
454;Marja, keskiarvo;FI
455;Tyrnimarja;FI
456;Marmeladi, marjoista;FI
457;Pihlajanmarja;FI
458;Mehu, mustaherukka-puolukkamehujuoma;FI
459;Mehu, mehujuoma, puolukka, laimentamaton;FI
461;Mehu, h%oe%yrymehu laimennettu, sokeroitu;FI
462;Mehu, h%oe%yrymehu, mustaherukka, laimennettu, sokeroitu;FI
463;Mehu, h%oe%yrymehu laimennettu, sokeriton;FI
469;T%ae%ysmehu, viiden hedelm%ae%n mehu, c-vitamiinia;FI
471;Ananas, omassa liemess%ae%%ae%n;FI
472;Omenasose, makeuttamaton;FI
473;Mehu, nektari, hedelm%ae%juoma, hedelm%ae%pitoisuus 50 %;FI
474;T%ae%ysmehu, marjat%ae%ysmehu;FI
476;Hillo, fruktoosilla makeutettu;FI
477;Meloni, verkkomeloni/cantaloupemeloni, kuorittu;FI
478;Marjajuoma, nektari, marjapitoisuus 50 %;FI
500;Voi;FI
501;Rasvaseos 80%;FI
528;Syv%ae%paistorasva 100 %, uppopaistorasva;FI
529;Teollisuusmargariini 80 %, kaulintamargariini;FI
530;Leipomoteollisuusmargariini 80%, leivonta;FI
531;Ruoka%oe%ljy teollisuusk%ae%ytt%oe%%oe%n, 70 % rypsi%oe%ljy%ae%, 30 % palmu%oe%ljy%ae%;FI
535;Rypsi%oe%ljy;FI
536;Oliivi%oe%ljy;FI
537;Maap%ae%hkin%ae%%oe%ljy;FI
540;Auringonkukka%oe%ljy;FI
541;Ruoka%oe%ljy keskiarvo, 87 % rypsi- 8 % auringonkukka- ja 5% oliivi%oe%ljy;FI
542;Soija%oe%ljy;FI
543;Maissi%oe%ljy;FI
550;Paistinrasva, laardi;FI
552;Kookosrasva 100 %;FI
553;Tali, raaka naudanrasva;FI
562;Majoneesi, hampurilaiskastike, rasvaa 60 %;FI
563;Salaatinkastike, ranskalainen;FI
565;Rasvaseos 40%, kevyt levi, v%ae%hemm%ae%n suolaa, vl;FI
568;Margariini 60%, rainbow/pirkka/eldorado/k-menu;FI
570;Rasvaseos 40%, kevyt levi vl;FI
572;(arc) margariini 40%, l%ae%tta;FI
576;Voi, suolaton;FI
578;Majoneesi, rasvaa 27-33 %;FI
579;Salaatinkastike, rasvaa <17%, v%ae%h%ae%rasvainen;FI
585;Voi, voimakassuolainen;FI
